2020/11/15 (Ultima actualización / Azken eguneratzea);
Udalerria / Municipio;Positiboak/Positivos;Biztanleak/Población;Tasa 100.000 biztanleko/Tasa por 100.000 habitantes;Hildakoak/Fallecidos;Hilkortasuna/Fatalidad;
VITORIA-GASTEIZ;12495;246149;5076,2;413;3,3;;;;
YECORA/IEKORA;6;257;2334,6;0;0,0;;;;
ZALDIBAR;131;3056;4286,6;2;1,5;;;;
ZALDIBIA;81;1630;4969,3;1;1,2;;;;
ZALDUONDO;3;194;1546,4;0;0,0;;;;
ZALLA;259;8438;3069,4;4;1,5;;;;
ZAMBRANA;22;436;5045,9;1;4,5;;;;
ZAMUDIO;131;3274;4001,2;2;1,5;;;;
ZARATAMO;42;1631;2575,1;1;2,4;;;;
ZARAUTZ;915;23301;3926,9;27;3,0;;;;
ZEANURI;26;1258;2066,8;0;0,0;;;;
ZEBERIO;23;1065;2159,6;0;0,0;;;;
ZEGAMA;88;1532;5744,1;0;0,0;;;;
ZESTOA;162;3833;4226,5;0;0,0;;;;
ZIERBENA;44;1493;2947,1;0;0,0;;;;
ZIGOITIA;42;1712;2453,3;0;0,0;;;;
ZIORTZA-BOLIBAR;14;451;3104,2;0;0,0;;;;
ZIZURKIL;129;3029;4258,8;1;0,8;;;;
ZUIA;145;2365;6131,1;17;11,7;;;;
ZUMAIA;441;9825;4488,5;6;1,4;;;;
ZUMARRAGA;412;9767;4218,3;19;4,6;;;;
OTROS;614;-;-;;;;;;
