Evolución nº total de altas hospitalización;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Altas Planta;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/05/01;18;2;4;2;3;1;1;0;0;0;1;1;0;0;2;1;0;0;0;0;
2020/05/02;20;3;7;1;2;2;0;0;0;0;2;0;0;0;3;0;0;0;0;0;
2020/05/03;15;1;2;3;4;0;0;0;0;0;1;0;0;0;2;2;0;0;0;0;
2020/05/04;83;20;9;10;12;8;0;1;3;0;2;1;3;0;12;2;0;0;0;0;
2020/05/05;68;16;3;14;7;11;1;0;1;3;1;1;1;0;3;6;0;0;0;0;
2020/05/06;68;10;12;10;11;7;1;2;1;0;4;2;2;0;2;2;0;1;1;0;
2020/05/07;64;8;15;8;8;5;2;0;4;2;2;1;2;0;6;1;0;0;0;0;
2020/05/08;87;26;9;7;15;3;2;0;3;1;3;0;6;0;7;4;0;0;1;0;
2020/05/09;18;6;2;3;2;0;0;0;0;1;1;0;1;0;0;2;0;0;0;0;
2020/05/10;11;3;0;1;2;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;
2020/05/11;50;10;16;7;10;2;0;0;0;1;0;1;1;0;2;0;0;0;0;0;
2020/05/12;65;13;11;6;6;5;4;0;1;1;0;0;1;0;10;5;0;0;2;0;
2020/05/13;57;12;15;4;5;5;3;1;0;1;0;0;0;2;6;3;0;0;0;0;
2020/05/14;50;8;9;7;11;3;0;1;2;0;1;1;0;1;6;0;0;0;0;0;
2020/05/15;81;13;10;13;11;7;1;0;2;0;1;2;3;2;8;7;0;0;1;0;
2020/05/16;23;4;4;3;4;2;0;0;1;1;0;0;0;0;3;1;0;0;0;0;
2020/05/17;4;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
2020/05/18;57;11;7;7;12;10;4;0;0;2;0;1;2;0;1;0;0;0;0;0;
2020/05/19;53;7;10;9;9;3;1;1;2;2;0;0;1;1;5;1;0;0;1;0;
2020/05/20;50;11;4;8;7;3;1;1;1;2;2;1;1;0;5;2;0;0;1;0;
2020/05/21;47;11;5;6;3;4;2;1;0;3;1;0;0;0;5;4;0;2;0;0;
2020/05/22;51;10;8;6;5;5;0;1;4;1;2;1;1;0;3;4;0;0;0;0;
2020/05/23;13;3;1;3;2;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;
2020/05/24;11;3;0;2;3;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;
2020/05/25;52;12;10;9;7;2;1;1;2;0;2;1;0;0;5;0;0;0;0;0;
2020/05/26;51;12;7;2;5;7;1;0;4;1;0;0;1;0;8;1;0;0;2;0;
2020/05/27;53;12;8;5;7;7;3;1;2;0;1;3;0;0;3;1;0;0;0;0;
2020/05/28;64;14;11;10;15;4;0;0;1;0;0;1;2;0;4;2;0;0;0;0;
2020/05/29;66;14;7;14;10;3;1;0;1;1;2;3;1;0;4;4;0;0;1;0;
2020/05/30;20;7;0;5;4;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;
2020/05/31;4;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2020/06/01;39;9;10;6;6;3;1;2;0;0;0;0;0;0;2;0;0;0;0;0;
2020/06/02;44;5;12;4;8;2;0;2;0;1;0;1;3;0;2;3;0;0;1;0;
2020/06/03;38;6;7;3;7;6;0;1;1;1;0;4;0;0;2;0;0;0;0;0;
2020/06/04;54;11;6;9;8;4;4;1;2;0;1;0;1;0;3;3;0;1;0;0;
2020/06/05;60;13;7;9;11;7;0;1;0;1;1;3;0;0;4;2;0;;1;0;
2020/06/06;24;3;5;4;4;4;0;1;0;0;1;1;0;1;0;0;0;;0;0;
2020/06/07;10;1;3;4;0;0;0;0;0;0;0;0;0;0;1;1;0;;0;0;
2020/06/08;33;2;8;7;6;0;2;0;1;1;2;0;0;0;3;1;0;;0;0;
2020/06/09;40;3;7;6;8;5;1;1;0;0;2;1;0;1;2;2;0;;1;0;
2020/06/10;50;12;4;4;9;3;1;1;1;3;3;0;2;1;5;0;0;;1;0;
2020/06/11;42;4;7;4;10;5;1;0;1;0;1;2;0;0;5;2;0;;0;0;
2020/06/12;43;6;7;6;6;5;1;0;0;2;2;1;0;1;4;2;0;;0;0;
2020/06/13;15;2;1;1;2;2;1;1;0;3;0;0;0;0;2;0;0;;0;0;
2020/06/14;8;2;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;;1;0;
2020/06/15;30;7;3;3;8;0;1;1;1;0;1;1;0;0;3;0;0;;0;1;
2020/06/16;37;9;5;6;7;3;1;0;0;1;1;1;1;0;2;0;0;;0;0;
2020/06/17;40;7;9;2;4;5;1;2;2;0;0;5;0;0;2;0;0;;1;0;
2020/06/18;36;4;3;11;5;3;2;0;1;2;1;2;1;0;0;1;0;;0;0;
2020/06/19;50;11;8;8;9;0;2;1;0;1;2;2;0;0;3;2;0;;1;0;
2020/06/20;20;5;4;1;6;2;0;;1;0;0;0;0;0;1;0;0;;0;0;
2020/06/21;5;2;0;0;1;0;0;;0;0;0;2;0;0;0;0;0;;0;0;
2020/06/22;30;4;10;3;2;4;0;0;0;1;2;0;0;0;2;1;0;;1;0;
2020/06/23;37;6;9;5;6;6;0;0;0;1;0;1;0;0;2;0;0;;1;0;
2020/06/24;33;6;4;5;6;7;1;1;0;1;0;0;0;0;1;1;0;;0;0;
2020/06/25;43;11;9;8;8;1;1;0;2;0;1;0;0;0;2;0;0;;0;0;
2020/06/26;60;14;12;7;12;6;0;1;0;0;2;4;0;0;2;0;0;;0;0;
2020/06/27;13;1;3;2;2;2;0;0;2;0;0;1;0;0;0;0;0;;0;0;
2020/06/28;6;0;0;2;0;2;0;0;0;0;1;0;0;0;0;1;0;;0;0;
2020/06/29;40;7;4;5;10;0;1;1;3;2;0;2;1;0;3;0;0;;1;0;
2020/06/30;35;12;5;7;3;1;1;;2;1;0;0;0;0;2;1;0;;0;0;
2020/07/01;40;8;8;5;5;4;0;;2;0;0;1;1;1;3;1;0;;1;0;
2020/07/02;28;3;4;8;3;2;1;0;0;3;1;0;0;0;0;3;0;;0;0;
2020/07/03;41;14;5;6;6;2;0;0;2;1;0;2;0;0;1;2;0;;0;0;
2020/07/04;12;1;4;3;1;0;1;0;0;0;1;0;0;0;1;0;0;;0;0;
2020/07/05;5;1;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;;0;0;
2020/07/06;30;6;4;2;6;2;0;0;0;1;3;1;0;1;4;0;0;;0;0;
2020/07/07;38;3;5;8;4;2;2;1;1;3;1;1;1;0;2;2;0;;1;1;
2020/07/08;35;8;10;4;5;2;1;0;0;0;1;0;0;0;1;2;0;;1;0;
2020/07/09;44;7;12;5;4;1;2;1;2;1;1;2;1;0;3;2;0;;0;0;
2020/07/10;39;4;9;7;8;0;2;0;0;0;0;1;0;0;7;0;0;;1;0;
2020/07/11;10;5;3;0;0;1;0;0;0;0;0;0;0;0;1;0;0;;0;0;
2020/07/12;7;2;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;;0;0;
2020/07/13;35;3;10;9;6;0;2;0;1;2;0;0;0;0;1;0;0;;1;0;
2020/07/14;37;8;8;5;6;1;2;0;2;1;2;0;0;0;1;0;0;;1;0;
2020/07/15;33;5;5;7;5;5;1;0;0;0;0;1;0;1;1;0;0;;2;0;
2020/07/16;44;9;11;6;4;6;1;1;1;0;0;1;2;0;1;0;0;;1;0;
2020/07/17;53;13;10;12;5;2;0;1;0;2;0;2;0;0;4;2;0;;0;0;
2020/07/18;16;3;2;6;2;0;0;0;1;;1;1;0;0;0;0;0;;0;0;
2020/07/19;5;3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;;0;0;
2020/07/20;24;2;8;3;5;2;0;0;1;0;0;2;0;0;0;0;0;;1;0;
2020/07/21;36;4;7;3;8;3;3;2;0;1;1;0;0;0;3;0;0;;1;0;
2020/07/22;30;7;7;9;1;0;0;0;0;2;1;1;0;1;1;0;0;;0;0;
2020/07/23;27;4;6;6;9;0;0;1;0;0;0;1;0;0;0;0;0;;0;0;
2020/07/24;44;10;11;4;5;5;0;0;0;0;3;0;0;0;4;2;0;;0;0;
2020/07/25;12;0;2;1;4;1;0;0;1;1;2;0;0;0;0;0;0;;0;0;
2020/07/26;6;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;;0;0;
