;Nuevos Ingresos UCI;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZAMUDIO H.;�LAVA PSIQUI�TRICO H.;
2020/08/03;1;0;0;0;1;0;;;;;;;;;;;;;;
2020/08/04;2;2;0;;0;0;;;;;;;;;;;;;;
2020/08/05;1;1;0;;0;0;;;;;;;;;;;;;;
2020/08/06;3;1;1;;1;0;;;;;;;;;;;;;;
2020/08/07;2;0;1;;1;0;;;;;;;;;;;;;;
2020/08/08;1;;1;;0;0;;;;;;;;;;;;;;
2020/08/09;0;;0;;0;0;;;;;;;;;;;;;;
2020/08/10;2;;0;1;1;0;;;;;;;;;;;;;;
2020/08/11;2;;1;0;0;1;;;;;;;;;;;;;;
2020/08/12;3;2;1;0;0;0;;;;;;;;;;;;;;
2020/08/13;4;1;0;1;2;0;;;;;;;;;;;;;;
2020/08/14;5;0;4;0;1;0;;;;;;;;;;;;;;
2020/08/15;2;0;1;0;1;0;;;;;;;;;;;;;;
2020/08/16;2;0;1;1;0;0;;;;;;;;;;;;;;
2020/08/17;4;1;0;1;2;0;;;;;;;;;;;;;;
2020/08/18;2;0;2;0;0;0;;;;;;;;;;;;;;
2020/08/19;2;1;0;0;1;0;;;;;;;;;;;;;;
2020/08/20;4;3;1;0;0;0;;;;;;;;;;;;;;
2020/08/21;7;0;2;2;2;0;;;;;;1;;;;;;;;
2020/08/22;2;2;0;0;0;0;;;;;;0;;;;;;;;
2020/08/23;7;2;2;2;1;0;;;;;;;;;;;;;;
2020/08/24;6;1;0;3;1;1;;;;;;;;;;;;;;
2020/08/25;2;0;0;0;1;;;;;;;1;;;;;;;;
2020/08/26;6;1;1;3;1;;;;;;;0;;;;;;;;
2020/08/27;4;1;1;0;2;;;;;;;0;;;;;;;;
2020/08/28;5;1;1;2;1;0;;;;;;0;;;;;;;;
2020/08/29;4;0;3;0;1;0;;;;;;0;;;;;;;;
2020/08/30;0;0;0;0;0;0;;;;;;0;;;;;;;;
2020/08/31;5;3;0;0;2;0;;;;;;0;;;;;;;;
2020/09/01;7;3;2;0;1;1;;;;;;0;;;;;;;;
2020/09/02;7;1;0;3;2;1;;;;;;0;;;;;;;;
2020/09/03;7;1;2;2;2;0;;;;;;;;;;;;;;
2020/09/04;3;0;0;1;2;0;;;;;;;;;;;;;;
2020/09/05;4;0;0;4;0;0;;;;;;;;;;;;;;
2020/09/06;5;0;2;2;1;0;;;;;;;;;;;;;;
2020/09/07;6;0;2;2;2;0;;;;;;;;;;;;;;
2020/09/08;6;2;0;2;0;2;;;;;;;;;;;;;;
2020/09/09;4;0;0;1;2;0;;;;;1;;;;;;;;;
2020/09/10;7;2;1;1;1;2;;;;;;;;;;;;;;
2020/09/11;7;1;3;2;1;0;;;;;;;;;;;;;;
2020/09/12;2;0;1;1;0;0;;;;;;;;;;;;;;
2020/09/13;1;0;0;0;1;0;;;;;;;;;;;;;;
2020/09/14;6;2;1;3;0;0;;;;;;;;;;;;;;
2020/09/15;6;0;1;3;2;0;;;;;;;;;;;;;;
2020/09/16;5;0;2;1;1;1;;;;;;;;;;;;;;
2020/09/17;4;1;1;1;0;0;;;;;;1;;;;;;;;
2020/09/18;3;0;1;1;1;0;;;;;;0;;;;;;;;
2020/09/19;3;2;1;0;0;0;;;;;;0;;;;;;;;
2020/09/20;6;2;0;3;1;0;;;;;;0;;;;;;;;
2020/09/21;2;0;0;0;2;0;;;;;;0;;;;;;;;
2020/09/22;4;1;1;1;0;1;;;;;;0;;;;;;;;
2020/09/23;4;0;3;1;0;0;;;;;;0;;;;;;;;
2020/09/24;7;0;3;1;2;1;;;;;;;;;;;;;;
2020/09/25;10;0;1;2;3;2;;;;;1;1;;;;;;;;
2020/09/26;4;2;2;0;0;0;;;;;;0;;;;;;;;
2020/09/27;3;2;1;0;0;0;;;;;;0;;;;;;;;
2020/09/28;7;2;2;2;1;0;;;;;;0;;;;;;;;
2020/09/29;3;2;0;0;1;0;;;;;;0;;;;;;;;
2020/09/30;4;1;0;2;0;0;;;;;1;0;;;;;;;;
2020/10/01;5;2;1;1;1;0;;;;;0;0;;;;;;;;
2020/10/02;2;0;0;1;1;0;;;;;;;;;;;;;;
2020/10/03;2;0;0;1;0;0;;;;;;1;;;;;;;;
2020/10/04;3;1;0;1;1;0;;;;;;0;;;;;;;;
2020/10/05;2;0;0;0;0;2;;;;;;0;;;;;;;;
2020/10/06;5;0;3;1;1;0;;;;;;0;;;;;;;;
2020/10/07;3;1;0;0;1;0;;;;;;1;;;;;;;;
2020/10/08;6;1;2;2;1;0;;;;;;0;;;;;;;;
2020/10/09;1;0;1;0;0;0;;;;;;;;;;;;;;
2020/10/10;3;1;0;1;0;1;;;;;;;;;;;;;;
2020/10/11;1;1;0;0;0;0;;;;;;;;;;;;;;
2020/10/12;4;1;2;1;0;0;;;;;;;;;;;;;;
2020/10/13;4;1;1;2;0;0;;;;;;;;;;;;;;
2020/10/14;6;0;1;2;3;0;;;;;;;;;;;;;;
2020/10/15;3;0;0;0;1;2;;;;;;;;;;;;;;
2020/10/16;5;0;2;3;0;0;;;;;;;;;;;;;;
2020/10/17;8;1;1;4;1;1;;;;;;;;;;;;;;
2020/10/18;5;1;1;3;0;0;;;;;;;;;;;;;;
2020/10/19;6;1;0;3;1;1;;;;;;;;;;;;;;
2020/10/20;5;1;2;0;0;1;;;;;;1;;;;;;;;
2020/10/21;4;1;0;1;1;0;;;;;;1;;;;;;;;
2020/10/22;10;1;2;3;2;0;;;;;;2;;;;;;;;
2020/10/23;2;0;0;1;1;0;;;;;;0;;;;;;;;
2020/10/24;6;1;1;2;2;0;;;;;;0;;;;;;;;
2020/10/25;8;2;0;2;2;1;;;;;;1;;;;;;;;
2020/10/26;4;1;2;0;1;0;;;;;;0;;;;;;;;
2020/10/27;9;2;1;4;2;0;;;;;;0;;;;;;;;
2020/10/28;4;0;1;0;1;0;;;;;;2;;;;;;;;
2020/10/29;10;1;3;4;1;1;;;;;;0;;;;;;;;
2020/10/30;9;1;1;5;1;0;;;;;;1;;;;;;;;
2020/10/31;6;1;1;3;1;0;;;;;;0;;;;;;;;
2020/11/01;6;0;1;2;3;0;;;;;;0;;;;;;;;
2020/11/02;12;4;5;2;0;1;;;;;;0;;;;;;;;
2020/11/03;2;0;0;1;0;1;;;;;;0;;;;;;;;
2020/11/04;3;0;1;1;0;0;;;;;;1;;;;;;;;
2020/11/05;9;1;0;4;3;1;;;;;;0;;;;;;;;
2020/11/06;11;1;0;7;0;2;;;;;;1;;;;;;;;
2020/11/07;6;2;1;2;1;0;;;;;;0;;;;;;;;
2020/11/08;13;4;3;4;2;0;;;;;;0;;;;;;;;
2020/11/09;8;2;3;2;1;0;;;;;;0;;;;;;;;
2020/11/10;11;1;4;3;3;0;;;;;;0;;;;;;;;
2020/11/11;3;0;0;1;1;1;;;;;;0;;;;;;;;
2020/11/12;10;1;3;3;1;1;;;;;;1;;;;;;;;
2020/11/13;11;3;2;4;1;0;;;;;;1;;;;;;;;
2020/11/14;5;1;1;2;0;1;;;;;;0;;;;;;;;
2020/11/15;11;5;2;3;0;0;;;;;;1;;;;;;;;
2020/11/16;5;2;0;2;1;0;;;;;;0;;;;;;;;
2020/11/17;4;0;1;1;1;0;;;;;;1;;;;;;;;
