Evolución nº de nuevos ingresos en UCI;;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;;
;Nuevos Ingresos UCI;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;;
2020/05/21;2;0;0;1;1;;;;;;;0;;;;;;;;;;
2020/05/22;0;0;0;0;0;;;;;;;0;;;;;;;;;;
2020/05/23;1;1;0;0;0;;;;;;;0;;;;;;;;;;
2020/05/24;0;0;0;0;0;;;;;;;0;;;;;;;;;;
2020/05/25;1;0;0;1;0;;;;;;;0;;;;;;;;;;
2020/05/26;2;0;1;1;0;;;;;;;;;;;;;;;;;
2020/05/27;4;0;2;1;1;;;;;;;;;;;;;;;;;
2020/05/28;2;1;0;0;0;1;;;;;;;;;;;;;;;;
2020/05/29;4;1;2;0;0;1;;;;;;;;;;;;;;;;
2020/05/30;1;0;0;0;1;0;;;;;;;;;;;;;;;;
2020/05/31;1;0;1;0;0;0;;;;;;;;;;;;;;;;
2020/06/01;4;0;0;2;1;1;;;;;;;;;;;;;;;;
2020/06/02;5;1;0;2;1;0;;;;;1;;;;;;;;;;;
2020/06/03;2;0;0;0;1;1;;;;;;;;;;;;;;;;
2020/06/04;2;0;1;0;1;0;;;;;;;;;;;;;;;;
2020/06/05;1;0;0;0;0;0;;;;;;1;;;;;;;;;;
2020/06/06;2;1;0;0;0;1;;;;;;0;;;;;;;;;;
2020/06/07;0;0;0;0;0;0;;;;;;;;;;;;;;;;
2020/06/08;5;1;2;1;1;;;;;;;;;;;;;;;;;
2020/06/09;2;0;1;0;1;;;;;;;;;;;;;;;;;
2020/06/10;1;1;0;0;0;;;;;;;;;;;;;;;;;
2020/06/11;4;0;3;0;1;;;;;;;;;;;;;;;;;
2020/06/12;2;0;0;1;1;;;;;;;;;;;;;;;;;
2020/06/13;3;1;0;0;1;1;;;;;;;;;;;;;;;;
2020/06/14;0;0;0;0;0;0;;;;;;;;;;;;;;;;
2020/06/15;2;0;0;1;0;1;;;;;;;;;;;;;;;;
2020/06/16;3;2;0;0;0;1;;;;;;;;;;;;;;;;
2020/06/17;4;0;1;0;3;0;;;;;;;;;;;;;;;;
2020/06/18;2;0;0;1;0;1;;;;;;;;;;;;;;;;
2020/06/19;1;;0;1;0;0;;;;;;;;;;;;;;;;
2020/06/20;1;1;0;0;0;;;;;;;;;;;;;;;;;
2020/06/21;4;2;1;1;0;;;;;;;;;;;;;;;;;
2020/06/22;1;0;0;0;1;;;;;;;;;;;;;;;;;
2020/06/23;4;2;1;0;1;;;;;;;;;;;;;;;;;
2020/06/24;1;0;0;0;1;;;;;;;;;;;;;;;;;
2020/06/25;4;1;2;1;0;;;;;;;;;;;;;;;;;
2020/06/26;2;0;1;1;0;;;;;;;;;;;;;;;;;
2020/06/27;1;0;0;0;0;1;;;;;;;;;;;;;;;;
2020/06/28;1;1;0;0;0;;;;;;;;;;;;;;;;;
2020/06/29;3;0;2;1;0;;;;;;;;;;;;;;;;;
2020/06/30;3;0;1;0;1;1;;;;;;;;;;;;;;;;
2020/07/01;3;0;1;1;1;0;;;;;;;;;;;;;;;;
